Category,Team/All_Teams,Place,Record,Year,Team
Rush Attempts,13,1,296,2018,13
Points Scored,14,0,208,2018,14
Points Scored,14,1,200,2017,14
Points Allowed,14,0,248,2018,14
Points Allowed,14,1,251,2017,14
Passing Yards,14,0,2733,2017,14
Passing Yards,14,1,2456,2018,14
Passing Yards Allowed,14,0,2463,2018,14
Passing Yards Allowed,14,1,2488,2017,14
Rushing Yards,14,0,996,2017,14
Rushing Yards,14,1,962,2018,14
Rushing Yards Allowed,14,0,1139,2017,14
Rushing Yards Allowed,14,1,1295,2018,14
Total Yards,14,0,3730,2017,14
Total Yards,14,1,3419,2018,14
Total Yards Allowed,14,0,3628,2017,14
Total Yards Allowed,14,1,3759,2018,14
Pass Attempts,14,0,384,2017,14
Pass Attempts,14,1,342,2018,14
Rush Attempts,14,0,250,2017,14
Rush Attempts,14,1,245,2018,14
Points Scored,15,0,210,2017,15
Points Scored,15,1,209,2018,15
Points Allowed,15,0,164,2018,15
Points Allowed,15,1,215,2017,15
Passing Yards,15,0,2575,2018,15
Passing Yards,15,1,2394,2017,15
Passing Yards Allowed,15,0,2338,2018,15
Passing Yards Allowed,15,1,2380,2017,15
Rushing Yards,15,0,1201,2017,15
Rushing Yards,15,1,930,2018,15
Rushing Yards Allowed,15,0,1036,2017,15
Rushing Yards Allowed,15,1,1113,2018,15
Total Yards,15,0,3596,2017,15
Total Yards,15,1,3505,2018,15
Total Yards Allowed,15,0,3416,2017,15
Total Yards Allowed,15,1,3451,2018,15
Pass Attempts,15,0,363,2017,15
Pass Attempts,15,1,350,2018,15
Rush Attempts,15,0,271,2017,15
Rush Attempts,15,1,254,2018,15
Points Scored,16,0,236,2018,16
Points Scored,16,1,221,2017,16
Points Allowed,16,0,213,2018,16
Points Allowed,16,1,236,2017,16
Passing Yards,16,0,2674,2018,16
Passing Yards,16,1,2308,2017,16
Passing Yards Allowed,16,0,2414,2018,16
Passing Yards Allowed,16,1,2685,2017,16
Rushing Yards,16,0,1231,2017,16
Rushing Yards,16,1,1023,2018,16
Rushing Yards Allowed,16,0,1188,2018,16
Rushing Yards Allowed,16,1,1280,2017,16
Total Yards,16,0,3698,2018,16
Total Yards,16,1,3540,2017,16
Total Yards Allowed,16,0,3602,2018,16
Total Yards Allowed,16,1,3965,2017,16
Pass Attempts,16,0,365,2018,16
Pass Attempts,16,1,363,2017,16
Rush Attempts,16,0,260,2017,16
Rush Attempts,16,1,248,2018,16
Points Scored,17,0,230,2018,17
Points Scored,17,1,202,2017,17
Points Allowed,17,0,185,2018,17
Points Allowed,17,1,192,2017,17
Passing Yards,17,0,2300,2018,17
Passing Yards,17,1,2248,2017,17
Passing Yards Allowed,17,0,2091,2017,17
Passing Yards Allowed,17,1,2486,2018,17
Rushing Yards,17,0,1258,2017,17
Rushing Yards,17,1,1250,2018,17
Rushing Yards Allowed,17,0,871,2018,17
Rushing Yards Allowed,17,1,1005,2017,17
Total Yards,17,0,3551,2018,17
Total Yards,17,1,3507,2017,17
Total Yards Allowed,17,0,3096,2017,17
Total Yards Allowed,17,1,3358,2018,17
Pass Attempts,17,0,369,2017,17
Pass Attempts,17,1,286,2018,17
Rush Attempts,17,0,315,2018,17
Rush Attempts,17,1,276,2017,17
Points Scored,18,0,261,2017,18
Points Scored,18,1,217,2018,18
Points Allowed,18,0,206,2017,18
Points Allowed,18,1,233,2018,18
Passing Yards,18,0,2646,2017,18
Passing Yards,18,1,2563,2018,18
Passing Yards Allowed,18,0,2410,2017,18
Passing Yards Allowed,18,1,2621,2018,18
Rushing Yards,18,0,1301,2017,18
Rushing Yards,18,1,862,2018,18
Rushing Yards Allowed,18,0,1328,2018,18
Rushing Yards Allowed,18,1,1368,2017,18
Total Yards,18,0,3947,2017,18
Total Yards,18,1,3425,2018,18
Total Yards Allowed,18,0,3778,2017,18
Total Yards Allowed,18,1,3950,2018,18
Pass Attempts,18,0,327,2017,18
Pass Attempts,18,1,318,2018,18
Rush Attempts,18,0,293,2017,18
Rush Attempts,18,1,237,2018,18
Points Scored,19,0,182,2017,19
Points Scored,19,1,157,2018,19
Points Allowed,19,0,205,2018,19
Points Allowed,19,1,227,2017,19
Passing Yards,19,0,2108,2018,19
Passing Yards,19,1,2016,2017,19
Passing Yards Allowed,19,0,2481,2018,19
Passing Yards Allowed,19,1,2497,2017,19
Rushing Yards,19,0,1028,2017,19
Rushing Yards,19,1,830,2018,19
Rushing Yards Allowed,19,0,961,2017,19
Rushing Yards Allowed,19,1,1153,2018,19
Total Yards,19,0,3045,2017,19
Total Yards,19,1,2938,2018,19
Total Yards Allowed,19,0,3458,2017,19
Total Yards Allowed,19,1,3635,2018,19
Pass Attempts,19,0,365,2018,19
Pass Attempts,19,1,355,2017,19
Rush Attempts,19,0,253,2017,19
Rush Attempts,19,1,243,2018,19
Points Scored,20,0,240,2017,20
Points Scored,20,1,203,2018,20
Points Allowed,20,0,198,2017,20
Points Allowed,20,1,282,2018,20
Passing Yards,20,0,2863,2017,20
Passing Yards,20,1,2761,2018,20
Passing Yards Allowed,20,0,2338,2018,20
Passing Yards Allowed,20,1,2594,2017,20
Rushing Yards,20,0,1031,2017,20
Rushing Yards,20,1,1000,2018,20
Rushing Yards Allowed,20,0,1058,2017,20
Rushing Yards Allowed,20,1,1320,2018,20
Total Yards,20,0,3895,2017,20
Total Yards,20,1,3762,2018,20
Total Yards Allowed,20,0,3652,2017,20
Total Yards Allowed,20,1,3658,2018,20
Pass Attempts,20,0,401,2018,20
Pass Attempts,20,1,367,2017,20
Rush Attempts,20,0,254,2017,20
Rush Attempts,20,1,235,2018,20
Points Scored,21,0,243,2017,21
Points Scored,21,1,183,2018,21
Points Allowed,21,0,197,2018,21
Points Allowed,21,1,240,2017,21
Passing Yards,21,0,2515,2017,21
Passing Yards,21,1,2285,2018,21
Passing Yards Allowed,21,0,2425,2018,21
Passing Yards Allowed,21,1,2702,2017,21
Rushing Yards,21,0,1310,2017,21
Rushing Yards,21,1,1056,2018,21
Rushing Yards Allowed,21,0,1096,2018,21
Rushing Yards Allowed,21,1,1123,2017,21
Total Yards,21,0,3825,2017,21
Total Yards,21,1,3341,2018,21
Total Yards Allowed,21,0,3521,2018,21
Total Yards Allowed,21,1,3826,2017,21
Pass Attempts,21,0,376,2018,21
Pass Attempts,21,1,362,2017,21
Rush Attempts,21,0,266,2017,21
Rush Attempts,21,1,243,2018,21
Points Scored,22,0,251,2018,22
Points Scored,22,1,168,2017,22
Points Allowed,22,0,193,2018,22
Points Allowed,22,1,247,2017,22
Passing Yards,22,0,2123,2018,22
Passing Yards,22,1,2031,2017,22
Passing Yards Allowed,22,0,2247,2017,22
Passing Yards Allowed,22,1,2280,2018,22
Rushing Yards,22,0,1296,2018,22
Rushing Yards,22,1,1088,2017,22
Rushing Yards Allowed,22,0,1209,2018,22
Rushing Yards Allowed,22,1,1306,2017,22
Total Yards,22,0,3420,2018,22
Total Yards,22,1,3120,2017,22
Total Yards Allowed,22,0,3490,2018,22
Total Yards Allowed,22,1,3554,2017,22
Pass Attempts,22,0,351,2017,22
Pass Attempts,22,1,292,2018,22
Rush Attempts,22,0,317,2018,22
Rush Attempts,22,1,237,2017,22
Points Scored,23,0,236,2018,23
Points Scored,23,1,137,2017,23
Points Allowed,23,0,210,2017,23
Points Allowed,23,1,238,2018,23
Passing Yards,23,0,2540,2018,23
Passing Yards,23,1,2110,2017,23
Passing Yards Allowed,23,0,2355,2018,23
Passing Yards Allowed,23,1,2434,2017,23
Rushing Yards,23,0,1005,2018,23
Rushing Yards,23,1,825,2017,23
Rushing Yards Allowed,23,0,1279,2018,23
Rushing Yards Allowed,23,1,1357,2017,23
Total Yards,23,0,3546,2018,23
Total Yards,23,1,2936,2017,23
Total Yards Allowed,23,0,3634,2018,23
Total Yards Allowed,23,1,3791,2017,23
Pass Attempts,23,0,394,2018,23
Pass Attempts,23,1,365,2017,23
Rush Attempts,23,0,239,2017,23
Rush Attempts,23,1,229,2018,23
Points Scored,24,0,271,2018,24
Points Scored,24,1,216,2017,24
Points Allowed,24,0,163,2017,24
Points Allowed,24,1,194,2018,24
Passing Yards,24,0,2598,2018,24
Passing Yards,24,1,2450,2017,24
Passing Yards Allowed,24,0,2306,2017,24
Passing Yards Allowed,24,1,2647,2018,24
Rushing Yards,24,0,1241,2017,24
Rushing Yards,24,1,1206,2018,24
Rushing Yards Allowed,24,0,973,2017,24
Rushing Yards Allowed,24,1,1018,2018,24
Total Yards,24,0,3805,2018,24
Total Yards,24,1,3691,2017,24
Total Yards Allowed,24,0,3280,2017,24
Total Yards Allowed,24,1,3665,2018,24
Pass Attempts,24,0,358,2017,24
Pass Attempts,24,1,330,2018,24
Rush Attempts,24,0,298,2018,24
Rush Attempts,24,1,297,2017,24
Points Scored,25,0,216,2018,25
Points Scored,25,1,172,2017,25
Points Allowed,25,0,250,2017,25
Points Allowed,25,1,283,2018,25
Passing Yards,25,0,2493,2018,25
Passing Yards,25,1,2349,2017,25
Passing Yards Allowed,25,0,2627,2017,25
Passing Yards Allowed,25,1,2668,2018,25
Rushing Yards,25,0,1038,2018,25
Rushing Yards,25,1,950,2017,25
Rushing Yards Allowed,25,0,1351,2018,25
Rushing Yards Allowed,25,1,1574,2017,25
Total Yards,25,0,3531,2018,25
Total Yards,25,1,3299,2017,25
Total Yards Allowed,25,0,4020,2018,25
Total Yards Allowed,25,1,4201,2017,25
Pass Attempts,25,0,350,2017,25
Pass Attempts,25,1,340,2018,25
Rush Attempts,25,0,248,2018,25
Rush Attempts,25,1,220,2017,25
Points Scored,26,0,276,2018,26
Points Scored,26,1,221,2017,26
Points Allowed,26,0,202,2018,26
Points Allowed,26,1,210,2017,26
Passing Yards,26,0,2950,2018,26
Passing Yards,26,1,2624,2017,26
Passing Yards Allowed,26,0,2370,2018,26
Passing Yards Allowed,26,1,2436,2017,26
Rushing Yards,26,0,968,2017,26
Rushing Yards,26,1,956,2018,26
Rushing Yards Allowed,26,0,1280,2018,26
Rushing Yards Allowed,26,1,1295,2017,26
Total Yards,26,0,3906,2018,26
Total Yards,26,1,3592,2017,26
Total Yards Allowed,26,0,3650,2018,26
Total Yards Allowed,26,1,3731,2017,26
Pass Attempts,26,0,358,2018,26
Pass Attempts,26,1,351,2017,26
Rush Attempts,26,0,261,2018,26
Rush Attempts,26,1,258,2017,26
Points Scored,27,0,216,2017,27
Points Scored,27,1,193,2018,27
Points Allowed,27,0,191,2018,27
Points Allowed,27,1,255,2017,27
Passing Yards,27,0,2366,2018,27
Passing Yards,27,1,2351,2017,27
Passing Yards Allowed,27,0,2409,2018,27
Passing Yards Allowed,27,1,2609,2017,27
Rushing Yards,27,0,1025,2017,27
Rushing Yards,27,1,1024,2018,27
Rushing Yards Allowed,27,0,996,2018,27
Rushing Yards Allowed,27,1,1354,2017,27
Total Yards,27,0,3391,2018,27
Total Yards,27,1,3376,2017,27
Total Yards Allowed,27,0,3406,2018,27
Total Yards Allowed,27,1,3963,2017,27
Pass Attempts,27,0,358,2018,27
Pass Attempts,27,1,322,2017,27
Rush Attempts,27,0,268,2017,27
Rush Attempts,27,1,265,2018,27
Points Scored,28,0,278,2018,28
Points Scored,28,1,219,2017,28
Points Allowed,28,0,172,2017,28
Points Allowed,28,1,195,2018,28
Passing Yards,28,0,2608,2018,28
Passing Yards,28,1,2449,2017,28
Passing Yards Allowed,28,0,2447,2017,28
Passing Yards Allowed,28,1,2731,2018,28
Rushing Yards,28,0,1381,2018,28
Rushing Yards,28,1,1293,2017,28
Rushing Yards Allowed,28,0,1013,2017,28
Rushing Yards Allowed,28,1,1219,2018,28
Total Yards,28,0,3989,2018,28
Total Yards,28,1,3743,2017,28
Total Yards Allowed,28,0,3461,2017,28
Total Yards Allowed,28,1,3950,2018,28
Pass Attempts,28,0,373,2017,28
Pass Attempts,28,1,319,2018,28
Rush Attempts,28,0,298,2018,28
Rush Attempts,28,1,281,2017,28
Points Scored,29,0,240,2018,29
Points Scored,29,1,237,2017,29
Points Allowed,29,0,242,2018,29
Points Allowed,29,1,253,2017,29
Passing Yards,29,0,2822,2017,29
Passing Yards,29,1,2800,2018,29
Passing Yards Allowed,29,0,2436,2018,29
Passing Yards Allowed,29,1,2655,2017,29
Rushing Yards,29,0,1198,2018,29
Rushing Yards,29,1,1117,2017,29
Rushing Yards Allowed,29,0,1132,2018,29
Rushing Yards Allowed,29,1,1352,2017,29
Total Yards,29,0,3998,2018,29
Total Yards,29,1,3940,2017,29
Total Yards Allowed,29,0,3568,2018,29
Total Yards Allowed,29,1,4007,2017,29
Pass Attempts,29,0,388,2017,29
Pass Attempts,29,1,354,2018,29
Rush Attempts,29,0,270,2018,29
Rush Attempts,29,1,243,2017,29
Points Scored,30,0,209,2018,30
Points Scored,30,1,165,2017,30
Points Allowed,30,0,208,2017,30
Points Allowed,30,1,253,2018,30
Passing Yards,30,0,2120,2018,30
Passing Yards,30,1,1986,2017,30
Passing Yards Allowed,30,0,2328,2018,30
Passing Yards Allowed,30,1,2472,2017,30
Rushing Yards,30,0,1038,2018,30
Rushing Yards,30,1,967,2017,30
Rushing Yards Allowed,30,0,1285,2017,30
Rushing Yards Allowed,30,1,1428,2018,30
Total Yards,30,0,3158,2018,30
Total Yards,30,1,2953,2017,30
Total Yards Allowed,30,0,3756,2018,30
Total Yards Allowed,30,1,3757,2017,30
Pass Attempts,30,0,395,2017,30
Pass Attempts,30,1,356,2018,30
Rush Attempts,30,0,238,2018,30
Rush Attempts,30,1,218,2017,30
Points Scored,31,0,234,2017,31
Points Scored,31,1,200,2018,31
Points Allowed,31,0,193,2017,31
Points Allowed,31,1,228,2018,31
Passing Yards,31,0,2476,2018,31
Passing Yards,31,1,2463,2017,31
Passing Yards Allowed,31,0,2451,2018,31
Passing Yards Allowed,31,1,2600,2017,31
Rushing Yards,31,0,1252,2017,31
Rushing Yards,31,1,1214,2018,31
Rushing Yards Allowed,31,0,1033,2018,31
Rushing Yards Allowed,31,1,1078,2017,31
Total Yards,31,0,3715,2017,31
Total Yards,31,1,3691,2018,31
Total Yards Allowed,31,0,3484,2018,31
Total Yards Allowed,31,1,3678,2017,31
Pass Attempts,31,0,365,2018,31
Pass Attempts,31,1,349,2017,31
Rush Attempts,31,0,268,2018,31
Rush Attempts,31,1,265,2017,31
Points Scored,99,0,309,2017,7
Points Scored,99,1,288,2017,10
Points Scored,99,2,288,2018,13
Points Scored,99,3,285,2018,10
Points Scored,99,4,278,2017,13
Points Scored,99,5,278,2018,28
Points Scored,99,6,276,2018,26
Points Scored,99,7,271,2018,24
Points Scored,99,8,261,2017,18
Points Scored,99,9,254,2017,2
Points Scored,99,10,251,2018,22
Points Scored,99,11,250,2018,1
Points Scored,99,12,249,2017,1
Points Scored,99,13,245,2017,9
Points Scored,99,14,243,2017,21
Points Scored,99,15,240,2017,4
Points Scored,99,16,240,2017,20
Points Scored,99,17,240,2018,29
Points Scored,99,18,237,2017,29
Points Scored,99,19,236,2018,16
Points Scored,99,20,236,2018,23
Points Scored,99,21,234,2017,31
Points Scored,99,22,233,2017,3
Points Scored,99,23,231,2018,9
Points Scored,99,24,230,2018,17
Points Scored,99,25,229,2018,7
Points Scored,99,26,228,2018,2
Points Scored,99,27,226,2017,6
Points Scored,99,28,225,2017,12
Points Scored,99,29,221,2017,16
Points Scored,99,30,221,2017,26
Points Scored,99,31,219,2017,28
Points Scored,99,32,217,2018,18
Points Scored,99,33,216,2017,24
Points Scored,99,34,216,2017,27
Points Scored,99,35,216,2018,25
Points Scored,99,36,210,2017,15
Points Scored,99,37,209,2017,8
Points Scored,99,38,209,2018,15
Points Scored,99,39,209,2018,30
Points Scored,99,40,208,2018,12
Points Scored,99,41,208,2018,14
Points Scored,99,42,205,2018,4
Points Scored,99,43,203,2018,20
Points Scored,99,44,202,2017,17
Points Scored,99,45,200,2017,14
Points Scored,99,46,200,2018,31
Points Scored,99,47,199,2018,0
Points Scored,99,48,196,2018,11
Points Scored,99,49,195,2018,8
Points Scored,99,50,193,2018,5
Points Scored,99,51,193,2018,27
Points Scored,99,52,191,2018,6
Points Scored,99,53,183,2018,21
Points Scored,99,54,182,2017,19
Points Scored,99,55,180,2018,3
Points Scored,99,56,177,2017,11
Points Scored,99,57,176,2017,0
Points Scored,99,58,172,2017,25
Points Scored,99,59,168,2017,22
Points Scored,99,60,165,2017,30
Points Scored,99,61,157,2017,5
Points Scored,99,62,157,2018,19
Points Scored,99,63,137,2017,23
Points Allowed,99,0,163,2017,24
Points Allowed,99,1,164,2018,15
Points Allowed,99,2,172,2017,28
Points Allowed,99,3,181,2017,3
Points Allowed,99,4,183,2017,13
Points Allowed,99,5,185,2018,17
